Invoice Number,Vendor Code,Region,Invoice Date,Invoice Amount,Currency,PO Number,Hold Reason,Payment Status
FR15-INV-200038,V419030,FR15,2026-05-15,13805.79,USD,PO4816446,Missing PO,On Hold
UK30-INV-200106,V691723,UK30,2026-05-07,4824.81,EUR,PO8240947,Quantity Mismatch,On Hold
DE10-INV-200105,V970910,DE10,2026-07-13,7042.92,USD,PO6703394,Missing PO,On Hold
US20-INV-200067,V876997,US20,2026-02-04,2913.26,USD,PO7238795,Quantity Mismatch,On Hold
UK30-INV-200181,V748143,UK30,2026-05-27,22618.34,USD,PO8152747,Missing GR,On Hold
FR15-INV-200248,V231932,FR15,2026-01-16,11268.2,EUR,PO8918348,nan,On Hold
IT25-INV-200034,V237337,IT25,2026-02-17,19772.01,EUR,PO3008960,Price Difference,On Hold
FR15-INV-200188,V521909,FR15,2026-07-02,23745.59,GBP,PO7843532,Quantity Mismatch,On Hold
DE10-INV-200290,V187498,DE10,2026-05-15,10036.71,USD,PO4479591,nan,On Hold
US20-INV-200192,V428947,US20,2026-01-23,6567.37,EUR,PO8904294,nan,On Hold
IT25-INV-200224,V589492,IT25,2026-02-16,20015.35,USD,PO6193278,Quantity Mismatch,On Hold
IT25-INV-200284,V431236,IT25,2026-04-03,22434.62,GBP,PO2950013,nan,On Hold
US20-INV-200267,V221958,US20,2026-03-08,10876.74,GBP,PO1326916,Approval Pending,On Hold
IT25-INV-200019,V256730,IT25,2026-04-03,9821.66,USD,PO1611213,Duplicate Invoice,On Hold
IT25-INV-200014,V832180,IT25,2026-04-14,22578.44,EUR,PO9997354,Missing GR,On Hold
UK30-INV-200091,V358795,UK30,2026-05-08,24237.17,USD,PO8917596,nan,On Hold
FR15-INV-200208,V771155,FR15,2026-01-16,11927.95,USD,PO7503216,Approval Pending,On Hold
IT25-INV-200174,V744167,IT25,2026-02-21,5442.16,EUR,PO1134055,nan,On Hold
IT25-INV-200044,V573254,IT25,2026-07-06,19073.54,EUR,PO8271476,Price Difference,On Hold
UK30-INV-200171,V627035,UK30,2026-04-09,18915.16,EUR,PO9948331,Missing PO,On Hold
DE10-INV-200150,V628178,DE10,2026-03-27,6296.6,GBP,PO2564718,Duplicate Invoice,On Hold
US20-INV-200297,V627035,US20,2026-06-13,23244.99,USD,PO1458298,Approval Pending,On Hold
FR15-INV-200278,V210268,FR15,2026-02-15,3948.55,USD,PO6087268,nan,On Hold
UK30-INV-200041,V275203,UK30,2026-05-08,8870.24,USD,PO7193956,Duplicate Invoice,On Hold
IT25-INV-200079,V765987,IT25,2026-01-24,7249.95,USD,PO4443609,nan,On Hold
FR15-INV-200288,V221958,FR15,2026-04-25,,GBP,PO1656951,Quantity Mismatch,On Hold
UK30-INV-200231,V484681,UK30,2026-02-08,20184.1,EUR,PO8456985,Missing GR,On Hold
IT25-INV-200164,V358795,IT25,2026-04-13,21326.71,EUR,PO4433382,Price Difference,On Hold
US20-INV-200117,V291335,US20,2026-01-26,17165.57,USD,PO3704999,Approval Pending,On Hold
UK30-INV-200256,V164820,UK30,2026-05-20,8288.31,USD,PO2721610,nan,On Hold
IT25-INV-200099,V754811,IT25,2026-01-24,1279.34,GBP,PO5131479,Price Difference,On Hold
UK30-INV-200266,V754811,UK30,2026-01-12,18674.17,EUR,PO9168984,Price Difference,On Hold
FR15-INV-200008,V887201,FR15,2026-04-26,23279.32,EUR,PO8667105,Missing GR,On Hold
UK30-INV-200236,V744167,UK30,2026-01-10,12190.4,GBP,PO2514542,Missing PO,On Hold
IT25-INV-200189,V876997,IT25,2026-03-31,3804.78,GBP,PO5945169,Duplicate Invoice,On Hold
US20-INV-200197,V249503,US20,2026-02-27,15890.01,USD,PO2859582,nan,On Hold
UK30-INV-200031,V891743,UK30,2026-02-02,16862.08,EUR,PO5339235,Price Difference,On Hold
FR15-INV-200293,V521909,FR15,2026-04-24,20454.24,USD,PO8426263,Quantity Mismatch,On Hold
DE10-INV-200055,V370936,DE10,2026-01-27,9450.63,EUR,PO3859244,nan,On Hold
FR15-INV-200028,V665894,FR15,2026-06-18,11293.87,GBP,PO8229039,Quantity Mismatch,On Hold
UK30-INV-200291,V359178,UK30,2026-07-15,24241.34,USD,PO6203916,nan,On Hold
UK30-INV-200246,V378167,UK30,2026-03-10,13373.02,USD,PO7666455,Approval Pending,On Hold
DE10-INV-200175,V832180,DE10,2026-05-24,3538.83,GBP,PO2841648,nan,On Hold
FR15-INV-200048,V229981,FR15,2026-06-07,17569.08,GBP,PO9104789,nan,On Hold
IT25-INV-200249,V887201,IT25,2026-01-24,13385.54,USD,PO5988023,Quantity Mismatch,On Hold
FR15-INV-200033,V586232,FR15,2026-01-21,19820.74,EUR,PO9790529,nan,On Hold
DE10-INV-200035,V256730,DE10,2026-05-28,2416.47,EUR,PO5455214,nan,On Hold
US20-INV-200212,V970910,US20,2026-03-10,1165.59,USD,PO6105724,Price Difference,On Hold
FR15-INV-200063,V221958,FR15,2026-03-02,19462.1,USD,PO3653093,Missing PO,On Hold
DE10-INV-200225,V465838,DE10,2026-04-04,15753.32,GBP,PO1431413,nan,On Hold
IT25-INV-200234,V431236,IT25,2026-04-11,5352.33,USD,PO9533879,Missing PO,On Hold
UK30-INV-200066,V154886,UK30,2026-01-04,22672.91,EUR,PO7944121,Duplicate Invoice,On Hold
IT25-INV-200154,V165725,IT25,2026-03-11,15213.44,USD,PO7609876,Missing PO,On Hold
IT25-INV-200039,V291335,IT25,2026-07-14,11122.03,GBP,PO4376513,nan,On Hold
DE10-INV-200240,V378167,DE10,2026-06-29,,USD,PO7846192,Price Difference,On Hold
IT25-INV-200204,V141090,IT25,2026-02-17,16075.74,EUR,PO4047569,Duplicate Invoice,On Hold
US20-INV-200047,V378167,US20,2026-01-22,2240.05,GBP,PO9121849,Missing GR,On Hold
FR15-INV-200228,V356840,FR15,2026-05-24,23033.68,GBP,PO1302186,Price Difference,On Hold
IT25-INV-200214,V358795,IT25,2026-04-03,7072.97,GBP,PO8996198,nan,On Hold
DE10-INV-200040,V832180,DE10,2026-05-25,22209.45,USD,PO2937878,Missing PO,On Hold
UK30-INV-200021,V754811,UK30,2026-05-08,22648.74,EUR,PO8750575,Duplicate Invoice,On Hold
UK30-INV-200101,V203355,UK30,2026-02-01,23767.73,USD,PO2631993,Approval Pending,On Hold
IT25-INV-200069,V165725,IT25,2026-02-18,432.14,GBP,PO1716756,Price Difference,On Hold
FR15-INV-200053,V891743,FR15,2026-01-08,2258.22,USD,PO2732465,nan,On Hold
US20-INV-200137,V314176,US20,2026-03-07,20982.47,EUR,PO8542535,nan,On Hold
IT25-INV-200024,V744167,IT25,2026-07-13,23759.04,GBP,PO2839433,nan,On Hold
US20-INV-200242,V154886,US20,2026-05-27,6423.06,EUR,PO8347689,Missing GR,On Hold
IT25-INV-200134,V229981,IT25,2026-05-23,9615.14,USD,PO5894287,nan,On Hold
DE10-INV-200210,V665894,DE10,2026-07-11,4432.15,EUR,PO4188729,Quantity Mismatch,On Hold
UK30-INV-200116,V154886,UK30,2026-06-19,20372.81,EUR,PO4875754,Missing PO,On Hold
US20-INV-200167,V203355,US20,2026-04-19,21934.84,EUR,PO1066150,Missing PO,On Hold
US20-INV-200142,V765987,US20,2026-06-02,21638.35,USD,PO3202575,Missing GR,On Hold
DE10-INV-200285,V370936,DE10,2026-06-03,2143.81,GBP,PO2132658,Missing PO,On Hold
DE10-INV-200245,V744167,DE10,2026-01-01,12865.18,GBP,PO2039504,Approval Pending,On Hold
US20-INV-200217,V771155,US20,2026-06-03,3147.8,USD,PO6927997,Missing GR,On Hold
UK30-INV-200056,V370936,UK30,2026-01-21,9360.46,GBP,PO1886040,nan,On Hold
UK30-INV-200061,V291335,UK30,2026-07-11,9500.05,GBP,PO3420564,nan,On Hold
IT25-INV-200179,V358795,IT25,2026-04-16,9897.26,EUR,PO3735264,Missing GR,On Hold
DE10-INV-200180,V373538,DE10,2026-06-07,11021.25,GBP,PO5448748,Quantity Mismatch,On Hold
IT25-INV-200084,V627035,IT25,2026-04-09,24251.49,USD,PO1390719,Approval Pending,On Hold
IT25-INV-200184,V291335,IT25,2026-03-04,19623.78,GBP,PO9847905,Missing PO,On Hold
IT25-INV-200114,V249503,IT25,2026-06-25,13471.99,EUR,PO7984720,nan,On Hold
US20-INV-200292,V970910,US20,2026-02-27,21657.85,GBP,PO7026988,Price Difference,On Hold
FR15-INV-200258,V521909,FR15,2026-06-12,22279.6,GBP,PO3614235,Approval Pending,On Hold
FR15-INV-200118,V291335,FR15,2026-04-09,4191.03,USD,PO6298217,nan,On Hold
IT25-INV-200279,V370936,IT25,2026-05-10,6262.05,EUR,PO7155579,Approval Pending,On Hold
DE10-INV-200170,V999159,DE10,2026-02-16,865.25,GBP,PO7081687,nan,On Hold
DE10-INV-200145,V335796,DE10,2026-07-09,24916.43,GBP,PO5381137,Missing GR,On Hold
IT25-INV-200299,V164820,IT25,2026-06-13,14354.58,USD,PO6719720,Approval Pending,On Hold
DE10-INV-200265,V429365,DE10,2026-04-11,14733.0,GBP,PO4978702,Missing PO,On Hold
IT25-INV-200054,V299041,IT25,2026-01-27,24667.99,USD,PO4173584,Price Difference,On Hold
UK30-INV-200176,V203355,UK30,2026-01-13,511.43,USD,PO8132508,Missing GR,On Hold
US20-INV-200272,V655839,US20,2026-02-12,14333.84,GBP,PO6050405,nan,On Hold
UK30-INV-200186,V665894,UK30,2026-04-02,15608.85,EUR,PO2020154,nan,On Hold
UK30-INV-200201,V970910,UK30,2026-04-06,3331.94,EUR,PO1549239,Quantity Mismatch,On Hold
FR15-INV-200238,V621430,FR15,2026-04-10,9317.5,EUR,PO5180656,Missing GR,On Hold
FR15-INV-200098,V165725,FR15,2026-06-23,22543.78,GBP,PO1378165,nan,On Hold
UK30-INV-200206,V428947,UK30,2026-04-27,8739.83,GBP,PO9555080,nan,On Hold
DE10-INV-200130,V284779,DE10,2026-01-08,20292.25,EUR,PO3977590,Price Difference,On Hold
US20-INV-200097,V600186,US20,2026-04-14,14670.21,USD,PO5422375,Missing GR,On Hold
DE10-INV-200275,V284779,DE10,2026-05-21,15203.5,GBP,PO4280772,Missing PO,On Hold
US20-INV-200082,V249503,US20,2026-06-30,,EUR,PO6927613,nan,On Hold
FR15-INV-200193,V428947,FR15,2026-05-07,11559.52,USD,PO8185197,nan,On Hold
DE10-INV-200060,V314176,DE10,2026-04-21,18871.45,EUR,PO2014929,Price Difference,On Hold
IT25-INV-200094,V427069,IT25,2026-02-23,17439.35,EUR,PO7232739,nan,On Hold
DE10-INV-200140,V521909,DE10,2026-03-27,6944.17,GBP,PO7215140,Price Difference,On Hold
FR15-INV-200233,V359178,FR15,2026-02-02,4735.35,USD,PO2026553,Quantity Mismatch,On Hold
FR15-INV-200148,V229981,FR15,2026-02-27,23627.43,EUR,PO4498472,Missing GR,On Hold
US20-INV-200152,V335796,US20,2026-06-29,3359.61,GBP,PO4813270,Missing PO,On Hold
IT25-INV-200274,V447449,IT25,2026-01-29,24664.9,GBP,PO2725690,Duplicate Invoice,On Hold
DE10-INV-200135,V291335,DE10,2026-04-02,24252.37,EUR,PO8954647,nan,On Hold
UK30-INV-200081,V748143,UK30,2026-02-15,5706.36,GBP,PO2400283,Duplicate Invoice,On Hold
IT25-INV-200124,V521909,IT25,2026-05-15,10543.34,EUR,PO7867218,Duplicate Invoice,On Hold
FR15-INV-200243,V370936,FR15,2026-07-05,17876.74,EUR,PO2829553,Missing PO,On Hold
IT25-INV-200244,V765987,IT25,2026-04-06,22395.89,GBP,PO4041341,nan,On Hold
FR15-INV-200013,V165725,FR15,2026-06-15,2712.63,GBP,PO1978039,nan,On Hold
UK30-INV-200096,V970910,UK30,2026-03-08,15744.82,USD,PO2059622,Approval Pending,On Hold
DE10-INV-200250,V370936,DE10,2026-03-21,6175.39,EUR,PO8635836,Quantity Mismatch,On Hold
FR15-INV-200263,V754811,FR15,2026-06-28,2309.97,GBP,PO2142953,nan,On Hold
DE10-INV-200045,V754811,DE10,2026-04-25,15512.72,EUR,PO7429611,nan,On Hold
UK30-INV-200286,V428947,UK30,2026-03-31,13184.11,USD,PO2985209,Quantity Mismatch,On Hold
FR15-INV-200103,V221958,FR15,2026-03-27,11473.07,GBP,PO3342035,Approval Pending,On Hold
UK30-INV-200036,V275203,UK30,2026-05-08,12436.34,EUR,PO9476563,Missing PO,On Hold
FR15-INV-200273,V427069,FR15,2026-02-13,8999.0,EUR,PO9337735,Duplicate Invoice,On Hold
DE10-INV-200020,V655839,DE10,2026-05-26,419.32,USD,PO1768734,nan,On Hold
IT25-INV-200269,V335796,IT25,2026-06-10,7201.83,USD,PO5506554,Quantity Mismatch,On Hold
FR15-INV-200218,V628178,FR15,2026-05-24,11600.35,GBP,PO1558924,nan,On Hold
DE10-INV-200075,V832180,DE10,2026-01-06,18689.22,EUR,PO2226476,nan,On Hold
DE10-INV-200200,V428947,DE10,2026-02-03,3352.66,EUR,PO5720642,Price Difference,On Hold
US20-INV-200227,V621430,US20,2026-07-16,21858.43,USD,PO1863561,Duplicate Invoice,On Hold
US20-INV-200282,V419030,US20,2026-03-31,7234.61,USD,PO1402732,nan,On Hold
US20-INV-200267,V221958,US20,2026-03-08,10876.74,GBP,PO1326916,Approval Pending,On Hold
IT25-INV-200149,V573254,IT25,2026-02-27,21263.74,USD,PO9369689,nan,On Hold
FR15-INV-200268,V621430,FR15,2026-03-06,3320.37,USD,PO4597706,Quantity Mismatch,On Hold
US20-INV-200002,V655839,US20,2026-05-28,20199.84,EUR,PO1770044,Price Difference,On Hold
FR15-INV-200198,V771155,FR15,2026-05-02,6117.62,EUR,PO8744064,Quantity Mismatch,On Hold
FR15-INV-200213,V521909,FR15,2026-01-22,4348.04,GBP,PO6025764,nan,On Hold
US20-INV-200052,V876997,US20,2026-07-01,2171.52,GBP,PO1090093,nan,On Hold
UK30-INV-200006,V628178,UK30,2026-06-10,19443.86,USD,PO9736347,Approval Pending,On Hold
DE10-INV-200205,V765987,DE10,2026-03-30,4669.72,EUR,PO1785332,nan,On Hold
FR15-INV-200128,V521909,FR15,2026-01-20,805.22,GBP,PO5084752,Missing PO,On Hold
DE10-INV-200270,V573254,DE10,2026-06-17,9172.6,GBP,PO1605409,Quantity Mismatch,On Hold
US20-INV-200077,V600186,US20,2026-05-04,24059.99,USD,PO9960820,nan,On Hold
FR15-INV-200113,V275203,FR15,2026-02-12,17499.32,EUR,PO4947208,Quantity Mismatch,On Hold
DE10-INV-200065,V210268,DE10,2026-05-27,10691.92,EUR,PO6888997,nan,On Hold
FR15-INV-200183,V876997,FR15,2026-04-30,12922.64,EUR,PO5317922,nan,On Hold
UK30-INV-200151,V744167,UK30,2026-02-18,11346.02,GBP,PO6139743,nan,On Hold
US20-INV-200277,V600186,US20,2026-04-05,2679.29,USD,PO6809041,nan,On Hold
DE10-INV-200160,V589492,DE10,2026-02-22,16838.59,EUR,PO6122930,Duplicate Invoice,On Hold
UK30-INV-200046,V421879,UK30,2026-04-29,2662.9,GBP,PO4266402,Price Difference,On Hold
DE10-INV-200190,V627035,DE10,2026-04-27,23175.7,USD,PO7733215,Approval Pending,On Hold
IT25-INV-200074,V141090,IT25,2026-04-27,16282.88,GBP,PO4138145,nan,On Hold
US20-INV-200092,V419030,US20,2026-01-18,13148.98,GBP,PO5902666,Quantity Mismatch,On Hold
IT25-INV-200199,V231932,IT25,2026-01-01,2035.2,USD,PO3129885,Duplicate Invoice,On Hold
US20-INV-200262,V358795,US20,2026-07-08,12536.29,EUR,PO3710241,Duplicate Invoice,On Hold
US20-INV-200087,V154886,US20,2026-07-10,13263.37,EUR,PO4296050,Duplicate Invoice,On Hold
IT25-INV-200239,V419030,IT25,2026-02-03,11643.99,EUR,PO9465506,Approval Pending,On Hold
FR15-INV-200143,V373538,FR15,2026-07-05,20350.59,USD,PO7611653,nan,On Hold
UK30-INV-200296,V154886,UK30,2026-04-30,16765.78,EUR,PO5684346,nan,On Hold
DE10-INV-200010,V691723,DE10,2026-04-23,10810.5,EUR,PO5229215,Missing GR,On Hold
US20-INV-200162,V299041,US20,2026-04-18,19342.11,GBP,PO7691409,Price Difference,On Hold
US20-INV-200032,V165725,US20,2026-05-22,18846.51,USD,PO4526737,Price Difference,On Hold
UK30-INV-200136,V552366,UK30,2026-04-08,21076.66,EUR,PO3490706,nan,On Hold
UK30-INV-200166,V573254,UK30,2026-01-06,14089.31,USD,PO4395049,Missing PO,On Hold
FR15-INV-200083,V449457,FR15,2026-04-05,452.04,USD,PO1691757,Duplicate Invoice,On Hold
US20-INV-200057,V370936,US20,2026-01-30,20348.07,EUR,PO1322918,Approval Pending,On Hold
DE10-INV-200165,V221958,DE10,2026-07-15,13864.88,USD,PO9670178,Price Difference,On Hold
DE10-INV-200155,V165725,DE10,2026-01-15,5831.77,USD,PO3378837,Approval Pending,On Hold
DE10-INV-200100,V818315,DE10,2026-04-24,7131.94,USD,PO1415008,Price Difference,On Hold
DE10-INV-200125,V249503,DE10,2026-02-26,23328.3,USD,PO8466027,Approval Pending,On Hold
FR15-INV-200023,V771155,FR15,2026-03-23,8084.94,GBP,PO6511174,Missing PO,On Hold
UK30-INV-200126,V428947,UK30,2026-02-05,21671.69,GBP,PO5987696,nan,On Hold
DE10-INV-200195,V431236,DE10,2026-05-20,12391.56,USD,PO7714301,nan,On Hold
IT25-INV-200294,V765987,IT25,2026-03-16,6558.89,EUR,PO3366610,nan,On Hold
IT25-INV-200104,V600186,IT25,2026-05-31,15560.3,USD,PO8978450,Missing PO,On Hold
FR15-INV-200153,V335796,FR15,2026-06-19,23858.17,GBP,PO5806425,Approval Pending,On Hold
UK30-INV-200226,V589492,UK30,2026-07-09,2181.71,EUR,PO5165100,nan,On Hold
DE10-INV-200025,V665894,DE10,2026-02-23,23772.59,EUR,PO7569632,Missing GR,On Hold
UK30-INV-200196,V187498,UK30,2026-05-09,8319.48,USD,PO8969693,Missing GR,On Hold
IT25-INV-200064,V299041,IT25,2026-02-17,14026.35,EUR,PO4303457,nan,On Hold
DE10-INV-200015,V691723,DE10,2026-03-25,12705.52,GBP,PO8352207,nan,On Hold
IT25-INV-200109,V221958,IT25,2026-01-17,14653.85,USD,PO6931161,Duplicate Invoice,On Hold
UK30-INV-200026,V748143,UK30,2026-06-12,14399.93,USD,PO4672214,Approval Pending,On Hold
UK30-INV-200076,V600186,UK30,2026-04-09,14646.71,GBP,PO5184056,Missing PO,On Hold
FR15-INV-200043,V370936,FR15,2026-06-25,3703.34,USD,PO6437149,nan,On Hold
FR15-INV-200003,V449457,FR15,2026-06-01,24764.05,GBP,PO6579079,Missing PO,On Hold
IT25-INV-200049,V429365,IT25,2026-02-07,1958.16,EUR,PO5108880,Missing PO,On Hold
UK30-INV-200296,V154886,UK30,2026-04-30,16765.78,EUR,PO5684346,nan,On Hold
DE10-INV-200030,V429365,DE10,2026-03-09,8317.31,GBP,PO7202258,Price Difference,On Hold
UK30-INV-200121,V370936,UK30,2026-06-01,23752.53,GBP,PO6787749,Duplicate Invoice,On Hold
DE10-INV-200115,V203355,DE10,2026-02-08,7841.76,EUR,PO8733308,nan,On Hold
FR15-INV-200283,V573254,FR15,2026-01-08,4458.33,USD,PO1506079,Missing GR,On Hold
